,맥주정보,검색이름,맥주이름
0,"GoufCustom(3,015)
🇭🇰Hong Kong
2.7April 11, 2021
500ml can bought at K-Mart Korean Food in Sham Shui Po. 

Looks: Translucent dull golden honey colour with trace of…
Show more
CAN
@ K-Mart Korean Food 韓國食品
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
9",Kabrew Kumiho Peach Ale,Kabrew Kumiho Peach Ale
1,"atpsynthase(86)
🇸🇬Singapore
3.1March 31, 2021
500 ml can from a local convenience store (!). The importer said that they no longer imported it any more. Pours a cloudy yellowish amber with a two finger white head; nice peachy…
Show more
CAN
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Kabrew Kumiho Peach Ale,Kabrew Kumiho Peach Ale
2,"Oakes(25,641)
🇨🇦Kelowna, Canada
2.5February 29, 2020
Cloudy, fullish blonde colour. Thin head, lots of artificial peach on both nose and palate. Candyish and perfumey...I’ve had fake schoolkid juice that tasted more real than this.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Kabrew Kumiho Peach Ale,Kabrew Kumiho Peach Ale
