,맥주정보,검색이름,맥주이름
20,"DraftSensei110(693)
1.4November 18, 2018
Cerveza de cuerpo ligero y carbonatación baja. Del aroma se perciben granos y algún toque de pera. En boca es una cerveza olvidable, con poco que destacar. Mas que una…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
21,"jjgmd(3,445)
🇺🇸Parkland, United States
0.5October 23, 2018
From a can on Asiana Airlines from NYC to Seoul....actually the cleanish pouring beer to date, no head, no nose and no taste . The nearest lager I have even tasted closest to pure…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Cass Fresh,Cass Fresh
22,"Iphonephan(9,867)
🇺🇸JACKSON, United States
1.8October 6, 2018
From a can on a Korea Air flight. Pours a clear pale gold with a white head. Bready aroma. Flavors are sweet grain. Crisp finish. Totally unremarkable.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
6",Cass Fresh,Cass Fresh
23,"Ralexander89(3)
4.0October 4, 2018
Really refreshing light lager, reminds me of a mild Sapporo. Crisp some bread.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cass Fresh,Cass Fresh
24,"BeerTickers28(1)
5.0September 12, 2018
bloody freash!!
Emo hanjan deo…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Cass Fresh,Cass Fresh
25,"kwik-lime(3,996)
🇬🇧London, England
2.0August 19, 2018
Bottle at Sing Sing in New Malden. Sweet and somewhat ricey lager. Not much hop character but drinkable enough.
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Cass Fresh,Cass Fresh
26,"Cimbasso(1,785)
🇬🇧London, England
1.8August 5, 2018
Sampled from a can in Itaewon. Very pale yellow with a quickly disappearing white head. Some grain taste and notes of green pear and wet cardboard. A little bit of alcohol but…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Cass Fresh,Cass Fresh
27,"one shot(1)
2.5July 26, 2018
여름 시원하게 쭉 들이키기 좋은 대한민국 대표 라거 맥주. 맥주 자체로 즐기기 보다는 음식과 페어링해서 먹으면 좋다. 특히 양념이 강한 음식.
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Cass Fresh,Cass Fresh
28,"brandonjoe(1)
4.6July 19, 2018
This is not a beer.
It is just a water with some alchol.…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cass Fresh,Cass Fresh
29,"TBone(23,692)
🇫🇮Pori, Finland
1.6July 3, 2018
Bottle at Gangnam…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cass Fresh,Cass Fresh
30,"foyle(642)
🇺🇸United States
3.0June 25, 2018
Poured from 11.2 oz bottle into pint glass. A thin white head falls quickly with virtually no lacing. Color is clear straw with mild streaming carbonation. Aroma of strong grassy hops…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Cass Fresh,Cass Fresh
31,"ALLOVATE(3,559)
🇦🇺Perth, Australia
1.9June 24, 2018
Geez, I swear I had drank many of these years prior and already rated this. From the bargain bin of my local. Chilled and into a tulip. Palest, yellow gold body and bright as…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Cass Fresh,Cass Fresh
32,"BrewPours15(1)
1.5June 18, 2018
This is a cheap lager in Republic of Korea. Not too bad, but not so good. standard lagers' flavor of Korea.
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
1
Overall
7",Cass Fresh,Cass Fresh
