,맥주정보,검색이름,맥주이름
0,"SilkTork(6,989)
🇬🇧Southampton, United Kingdom, England
1.6November 25, 2019
Oct 2019 Can from Seven-11 in Bangkok, drunk in Zelie's flat. This is a harmless piece of nonsense. More pop than beer.
CAN
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",HiteJinro Isul Tok Tok,HiteJinro Isul Tok Tok
1,"AirForceHops(11,819)
🇺🇸Epping, United States
2.2August 10, 2018
12 oz. can. Could somebody actually verify that this is really a fruit beer??? It tastes like a alcoholic seltzer water with weak peach juice. Or perhaps a Asian peach candy hint.…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
7",HiteJinro Isul Tok Tok,HiteJinro Isul Tok Tok
2,"Chalumeaux(2,501)
🇺🇸Middleton, United States
2.8August 6, 2018
Poured from can clear with no head. Aroma is sweet peach juice. Taste is very sweet peach juice no real carbonation. Interesting. Perhaps best left to use in making cocktails.
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",HiteJinro Isul Tok Tok,HiteJinro Isul Tok Tok
3,"YantarCoast(3,350)
🇷🇺Moscow, Russia
1.9July 15, 2018
355ml can. Pours clear with a small white head. Aroma is peach-flavoured gummy bears. Taste is heavy sweet, artificial peach, sugar. Untappd has it down as a beer, but…
Show more
Aroma
6
Appearance
2
Flavor
4
Mouthfeel
2
Overall
5",HiteJinro Isul Tok Tok,HiteJinro Isul Tok Tok
