,맥주정보,검색이름,맥주이름
0,"GoufCustom(3,015)
🇭🇰Hong Kong
3.5March 22, 2021
500ml can bought at Fusion in Fanling Town Centre, Fanling.

Looks: Translucent golden honey colour; Three finger head…
Show more
CAN
@ Fusion - Fanling
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
1,"colui72(3,023)
🇭🇰Yuen Long, Hong Kong
3.1March 20, 2020
The last Korean of my quarantine grocery is a Witbier. Pretty decent to be honest. Pours clear golden, small white soapy head, lastong, with good lacing retention. Aroma is bready…
Show more
CAN
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
12",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
2,"mbos4115(121)
2.8March 17, 2020
Clean blond, thin foam

Nose: metal rust, citrus, mint…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
3,"Pyobon(2,191)
🇦🇺Sydney, Australia
3.2November 14, 2019
(Can) Pours clear straw with big white head. Ester and yeast aroma. Light body, plenty or rather fizzy carbonation, slightly oily. Nice taste - banana, bread, citrus, some pepper.…
Show more
CAN
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
4,"HighSparkDiesel(620)
🇹🇼Taipei City, Taiwan
1.5July 18, 2019
Another offering from 7-11's summer beer campaign, 500 ml. can. Aroma: empty, unwashed homebrew barrel. Appearance: clear golden amber, absolutely no head to speak of. Palate:…
Show more
Aroma
4
Appearance
1
Flavor
4
Mouthfeel
1
Overall
5",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
5,"douglas88(11,702)
🇺🇸Portland, United States
3.2July 10, 2019
Listed as Baengnokdam ale. Pours a clear yellow color with a large white head. A light grainy yeasty nose. Smooth, big banana esters, soft perfume. Solid. No idea who is brewing…
Show more
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Jeju Baengnokdam Ale,Jeju Baengnokdam Ale
