,맥주정보,검색이름,맥주이름
0,"fredthecat(527)
🇨🇦Canada
1.6May 18, 2019
gold with a small white head. smell is corny, ""korean beer"" smell. taste is more corn, off-sweet, body is not so bad as in somewhat thicker than expected.…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
3
Overall
7",Cafri,Cafri
1,"TBone(23,694)
🇫🇮Pori, Finland
1.5June 23, 2018
Can 355ml (Gyeongju). Pale yellow colour, small white head. Aroma has nasty tart lemony, maize vibe. Light-bodied. Corn malty, low bitterness, watery, a bit cardboardish. Duh.
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
6",Cafri,Cafri
2,"miggle(587)
🇩🇪Fürth, Germany
2.0March 4, 2018
Clear golden color with minimal head. Very light aroma of grass and hay. Quite sweet with some bitterness in the middle.…
Show more
Aroma
3
Appearance
3
Flavor
5
Mouthfeel
2
Overall
7",Cafri,Cafri
3,"Erzengel(13,338)
🇩🇪Saarland & Düsseldorf, Germany
1.8April 25, 2017
Bottle in Seoul. Corn, sweetness, water. Moderate bitter, neutral grainy with a smooth sweetish aroma. Strange and not good. Moderate neutral bitterness and corn in the end.
Aroma
2
Appearance
4
Flavor
2
Mouthfeel
4
Overall
6",Cafri,Cafri
4,"mtitov(217)
🇷🇺Moscow, Russia
1.4March 30, 2017
В первое посещение Южной Кореи пиво понравилось, был полгода назад-все очень испортилось
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
4",Cafri,Cafri
5,"JaKeAFC(1,767)
🇮🇹Italy
1.2May 10, 2016
33 cl clear bottle, 1800 KRW or so. Pale yellow color, clear, short soapy head, fizzy. Sweet wet grains, cardboard, corn and unmalted stuff. Sweetish taste, light salty, carbonated,…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Cafri,Cafri
6,"heavy(2,949)
🇭🇷Split, Croatia
2.2March 25, 2015
Aug ’14. A 0.33 l bottle, thanks Marjan! It poured pale yellow body with a small head. Light hop and decent grain aroma. Flavor was less pleasant, grainy and bready with light sugar…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
3
Overall
8",Cafri,Cafri
7,"Ethanolist(10)
1.6December 22, 2014
Light yellow pour, watery taste, thin crispy body, a little flavor of malts and floral hops, head disappears quickly.
Aroma
3
Appearance
3
Flavor
1
Mouthfeel
2
Overall
7",Cafri,Cafri
8,"Marko(10,883)
🇨🇿Prague, Czech Republic
2.2August 16, 2014
Thanks Marjan for bringing this all the way from South Korea for heavy, who shared it, of course, with me. :) Yellow-golden body with a tiny white head. Fresh honeyish aroma, actually…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Cafri,Cafri
9,"Beerhunter111(34,263)
🇩🇪Beerland, Germany
1.6February 13, 2014
Ins Glas ergießt sich ein goldgelbes Bier mit geringer Schaumkrone. Geruch leicht malzig, süß, getreidig. Geschmack leicht malzig getreidig.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Cafri,Cafri
10,"maxwelldeux(4,373)
🇺🇸Snohomish, United States
1.4July 2, 2013
This is, in fact, beer, which is the best thing I can say for it. It’s a crystal clear golden color with very little head. Nose is corny and just like a typical lager. Taste is a little sweet, and…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Cafri,Cafri
11,"FatPhil(21,864)
🇪🇪Tallinn, Estonia
1.2May 25, 2013
330ml clear bottle (Anywhere, Suwon)…
Show more
Aroma
3
Appearance
1
Flavor
2
Mouthfeel
1
Overall
5",Cafri,Cafri
12,"AndreasJaeger(505)
🇸🇪Malmö, Sweden
1.4February 2, 2013
Vattnigt gul i färgen med luftigt vitt skum. Tunn doft med söta majstoner. Smakar nästan ingenting. hör kolsyra och kort eftersmak.
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
1
Overall
5",Cafri,Cafri
13,"Bart(2,934)
🇧🇪Brussels, Belgium
2.3September 24, 2012
355ml Canned. Golden blond coloured beer with some light carbonation and a medium white head. Sweet fruity pilsener malty hinted aroma. Light to medium palate. Finish is light…
Show more
Aroma
6
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Cafri,Cafri
14,"strap(981)
🇩🇪Sindelfingen, Germany
1.9July 15, 2012
Typical Korean beer. Very pale colored, weak on taste, highly carbonated.  Not sure how one goes about choosing between this, OB, Cass or Hite. All the same to me
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cafri,Cafri
15,"Pyobon(2,192)
🇦🇺Sydney, Australia
1.9July 12, 2012
(bottle) Poured pale straw with no head. Aroma is grassy, metallic hops and cardboard. Light bodied and fizzy. Taste is very bland. The foretaste isn’t too bad - mildly sweet, but it…
Show more
Aroma
5
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Cafri,Cafri
16,"WVHouseofBeer(1,152)
🇺🇸United States
1.6March 5, 2012
Eh exactly the same as all the other Korean pale lagers; weak, thin, basically non-descript. Not unpleasant but there is really no aroma or flavor to speak of. Good for heavy drinking
Aroma
1
Appearance
2
Flavor
3
Mouthfeel
2
Overall
8",Cafri,Cafri
17,"BaroneBirra(534)
🇮🇹Gorizia, Italy
2.3January 9, 2012
0,33 bottle from Seoul.
Pale gold, very clear with a lot of bubbles. small white head…
Show more
Aroma
7
Appearance
1
Flavor
5
Mouthfeel
2
Overall
8",Cafri,Cafri
18,"Palme(5,033)
🇳🇴Bergen, Norway
1.5December 28, 2011
0.33l bottle @ Hyundai Hotel, Ulsan South Korea. Crystal clear pale golden with a thin and quickly sidesticking white lager head. Smells sun damaged. Some sweet cardboard…
Show more
Aroma
2
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Cafri,Cafri
19,"azuritko6(10)
🇺🇸United States
3.2December 14, 2011
Can. Velmi zaujimavo vonia akoby kvasinkove. vzhlad svetly pena rychlo odisla. chutovo lahke, s mierne vodovym dozvukom...napriek tomu je velmi pitelne. Fajn.
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
2
Overall
13",Cafri,Cafri
20,"KyotoLefty(14,038)
🇯🇵Kyoto, Japan
2.0December 10, 2011
Fresh Bottle. Fruity nose, light malt, some grass, lemon. Faint but inoffensive. Pale yellow with a thin lacy head. Malt and grain flavor, corn, a hint of hops, a bit of fruit, some citrus.…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cafri,Cafri
21,"Bierkrug(2,129)
0.7November 18, 2011
330 ml bottle picked up in Sulaymaniyah, Iraq. Don’t ask me how it got here. Pours a clear gold color with a very small white head. Aroma is citrus and malt. Taste is pretty bad…
Show more
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
2",Cafri,Cafri
22,"SHIG(8,821)
🇬🇧Bury St Edmunds, England
2.1May 7, 2011
Can: Poured a golden color with a fast evaporating white head. Aroma is sweet grass and lemons. Taste is rusty nails with malty butter finish.
Aroma
5
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Cafri,Cafri
23,"robforbes(2,420)
🇺🇸Bremerton, United States
1.7March 15, 2009
one of the better pale lagers in south korea.  but still not compairable to the rest of the world.…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Cafri,Cafri
24,"BelgianBeerGal(5,350)
🇺🇸Panama City, United States
1.2December 17, 2009
33cl can in Seoul. Decoration on label makes it look like carbonated water.  The aroma and flavour confirm that this in fact might just be water with some CO2 pumped in.  Aroma…
Show more
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
4",Cafri,Cafri
25,"Wal(5)
🇩🇪Berlin, Germany
0.8September 4, 2008
Lived in Korea 5 years and I really tried hard to find a good beer, never did.…
Show more
Aroma
1
Appearance
2
Flavor
2
Mouthfeel
1
Overall
2",Cafri,Cafri
26,"brewssuds(17)
🇨🇦Canada
1.9August 24, 2008
Unremarkable. Pretty generic macro lager (and I even drank it in Korea, which should make it taste better!)
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Cafri,Cafri
27,"patrick767(5,382)
🇺🇸fort wayne, United States
1.1June 10, 2008
bottle - Hey, it says this beer inspires young people to ""break out of their routine lifestyle and experience extraordinary freedom""?  All that in a beer?  Wow, I’m excited!…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
1
Overall
3",Cafri,Cafri
28,"jerryballoono(32)
🇹🇷Urgup, Turkey
1.7December 6, 2007
Almost thought my 330ml bottle was off as unusually for a Korean beer this pale yellow lager actually had a hint of beer to it ! very very thin with a malty nose & lacking in charecter…
Show more
Aroma
5
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Cafri,Cafri
29,"ultraspank(867)
🇵🇹Alverca, Lisboa, Portugal
1.5October 25, 2007
Had this while satisfying the Itis at Hoolala with my bud Robert after bar hopping in Seoul.  Nose of sulpher, grain, grass, and flowers.  Pours a sparkling pale yellow.  Brief fla…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
2
Overall
6",Cafri,Cafri
30,"Gethinbeer(2,451)
🇨🇦Canada
1.8April 18, 2007
From bottle. When I drank this I must say I thought it had a bit of quality to it than most of the other Korean beers I tried. Still nothing much going for it, but it was trying to be a…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
7",Cafri,Cafri
31,"Sully(1,380)
🇦🇺Potts Point, New South Wales, Australia
0.5April 3, 2007
Found this in a Korean mini-market in Kuala Lumpur. God the description is so Engrish as to be the only amusing aspect of this beer. it stinks of adjuncts and is truly a pathetic beer…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Cafri,Cafri
32,"faroeviking(14,086)
🇫🇴Mikið av bjórið rennur í heilum, Faroe Islands
1.9January 1, 2007
Bottle with 4.2% alc. bought in Seoul. Golden colour with a small short head. Weak sweetish aroma with some maltiness. Flavour is quite waterish with some malt, little…
Show more
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cafri,Cafri
33,"Sanchex(224)
🇨🇦Toronto, Canada
1.4September 19, 2006
Worst ""premium"" beer I’ve tasted.  All marketing.  Cass is still the best Korean beer out there.  Very carbonated, pale beer.  Big on taste (for a Korean beer) but in this case more is les…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Cafri,Cafri
34,"larsga(7,693)
🇳🇴Oslo, Norway
1.7June 7, 2006
Thin coarse white head over very pale yellow body with ongoing carbonation. Looks like a soft drink. Faint apple-like aroma. Sweetish. Taste is watery sweetish apple juice with…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
2
Overall
8",Cafri,Cafri
35,"bourne(161)
🇰🇷Suwon, South Korea
1.3March 21, 2006
I didnt think this was beer when I bought it.  It looks queerbeerish but I had it reccomended.  Its on par with hite I guess, more refined and cleaner but lacking what hite has…
Show more
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
4",Cafri,Cafri
36,"curvedbeer(11)
🇸🇬Singapore
1.0November 6, 2005
Of all of the commercially brewed beers I’ve tried in Korea, none impressed me. Cafri was the poorest of the lot, tasting much like soda water, with a bit of yellow colouring.
Aroma
2
Appearance
3
Flavor
1
Mouthfeel
1
Overall
3",Cafri,Cafri
37,"tomciccateri(1,033)
🇺🇸Albuquerque, United States
2.2September 5, 2007
From a can onboard a KAL flight. 4.2%, with no hop discernable hop or malt flavor. A clear light straw color with plenty of carbonation. Find out where the flavor went at…
Show more
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Cafri,Cafri
38,"Papsoe(25,043)
🇩🇰Frederiksberg, Denmark
2.1June 13, 2005
(Bottle 48 cl) Again - for Korea - this beautiful fresh, flowery hop scent. What are these hops they use? Beautiful golden colour with a fast fading head. In flavour this is typical…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Cafri,Cafri
39,"MrRomero(1,976)
🇺🇸Nolanville, United States
1.7March 21, 2004
Probably my favorite Korean beer but not as available as OB or Hite. Pours a straw yellow with thick dissipating white head. Not much aroma. Typical American Standard lager…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Cafri,Cafri
