,맥주정보,검색이름,맥주이름
0,"GoufCustom(3,015)
🇭🇰Hong Kong
3.8March 23, 2021
500ml can bought at Fusion in Fanling Town Centre, Fanling. 

Looks: Translucent copper brown colour with trace of misty…
Show more
CAN
@ Fusion - Fanling
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
3
Overall
15",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
1,"colui72(3,023)
🇭🇰Yuen Long, Hong Kong
3.4March 20, 2020
And then you find some gems on the virtual shelves of parknshop.com! The problem was that purchasing 3 Korean beers I've mistakenly ordered a 12-pack of San Miguel...…
Show more
CAN
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
2,"mbos4115(121)
3.4March 18, 2020
Darker Amber with lose but fluffy thick foam

Nose: Ginger, copper,…
Show more
Aroma
8
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
3,"Oakes(25,640)
🇨🇦Kelowna, Canada
3.0January 10, 2020
Can from a random corner store, near the Gyeongbokgung Palace referenced on the label. Dark amber, and bright. Older school than most old school IPAs. Light body, chewy,…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
4,"Pyobon(2,191)
🇦🇺Sydney, Australia
3.1November 13, 2019
(Can) Pours clear amber / copper with pale amber head. Pleasant fruity aroma - citrus mainly - maybe hints of pine and toffee. Light body and rather fizzy. Flavour is rather…
Show more
CAN
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
2
Overall
13",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
5,"douglas88(11,702)
🇺🇸Portland, United States
3.0July 10, 2019
16 ounce can. Pours a copper color with a medium white head. A soft floral toast nose. Somewhat sweet, toasted malts, light oranges. Not really an IPA, but a bit fruity.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Kabrew Gyeongbokgung Royal Pride IPA,Kabrew Gyeongbokgung Royal Pride IPA
