,맥주정보,검색이름,맥주이름
0,"Grzesiek79(6,146)
🇵🇱Radom, Poland
3.9May 9, 2021
bardzo dobry lager, zaskakujace, bardzo chmielny, klasyczny, wytrawny, malo slodowosci, nie dominuje, a jest ukryta, taki old schoolowy lager, z piekna czapa trwalej piany. no…
Show more
BOTTLE
@ Chmiel - Świat Piwa
Aroma
6
Appearance
4
Flavor
8
Mouthfeel
5
Overall
16",Hop House 13 Lager,Hop House 13 Lager
1,"jybi(1,705)
🇳🇨Nouméa, New Caledonia
2.6May 4, 2021
On peut dire ce que l'on veut...Guiness est pour moi synonyme de Stout et ce n'est pas cette Lager qui va me faire changer d'avis. Vous me direz qu'il est bien que des…
Show more
BOTTLE
Aroma
5
Appearance
5
Flavor
5
Mouthfeel
2
Overall
9
2",Hop House 13 Lager,Hop House 13 Lager
2,"djoeye(11,391)
🇳🇴Tromsø, Norway
2.3May 4, 2021
Aroma; pale malts, grass, nectarine, syrup, caramel.  Look; normal off white head on clear bright golden body. Taste; mild sweet malts, grass, fruit syrup, caramel.  Malted…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
3
Overall
8",Hop House 13 Lager,Hop House 13 Lager
3,"Bullit(6,228)
🇪🇸Burgos, Spain
2.0April 22, 2021
Bottle at home.  Clear golden coloured. Malty, slight toastiness, caramel, grainy. Fairly dry.…
Show more
BOTTLE
@ Carrefour (Various locations in Europe)
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Hop House 13 Lager,Hop House 13 Lager
4,"DraftPupil66(160)
2.9April 18, 2021
330ml bottle at home from store. Pours clear pale copper with thin white head and some lacing. Aroma of subtle, fruity hops and malt. Taste is mostly malt, nice bittering floral…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
14",Hop House 13 Lager,Hop House 13 Lager
5,"Syfher(1,057)
🇧🇪Brussels, Belgium
3.1March 18, 2021
Bottle of 33cl, in a Tulip glass; from the fridge.

We're in front of a clear pale kinda copper coloured beer.…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Hop House 13 Lager,Hop House 13 Lager
6,"kingstoni(2,902)
🇫🇮Finland
2.8March 7, 2021
Bottle. Clear pale copper color with a thin frothy off-white head. Mild, sugary aroma of grain with notes of honey. Mild taste. Some floral notes. Thin body.
BOTTLE
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
3
Overall
11",Hop House 13 Lager,Hop House 13 Lager
7,"Kevnic2008(13,715)
🇩🇪Baden-Baden, Germany
3.1February 28, 2021
Pours a clear dark golden colour, white head. Aroma of hops, malt, some grassy notes. Maltiness dominates.
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Hop House 13 Lager,Hop House 13 Lager
8,"fabio26(17)
3.3February 14, 2021
Aspetto dorato con schiuma pannosa bianco crema, abbastanza persistente. Aroma speziato, resinoso, leggermente agrumato. Gusto dolce in principio e poi…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
2
Overall
13",Hop House 13 Lager,Hop House 13 Lager
9,"dunklermessias(1,541)
🇩🇪Germany
2.9February 12, 2021
Clear, amber color and a white head. Nose is bready, malty, decent hoppy. Taste follows the nose.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Hop House 13 Lager,Hop House 13 Lager
10,"Jerseyislandbeer(3,019)
🇯🇪Jersey
2.8February 12, 2021
Old rating from 12-04-16 - 330ml bottle. Pours a golden colour with a white foamy head & lively carbonation. Aromas of grain & malt. Tastes of much of the same especially malt…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
12",Hop House 13 Lager,Hop House 13 Lager
11,"BeerBoor90(87)
🇮🇹Pescara, Italy
3.1January 22, 2021
A hoppy aromatic Lager. Clear ambered gold color, with an average and quite stabile white head. The aroma is pleasantly full of hop, pizza dough, flowers, grass and…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
11",Hop House 13 Lager,Hop House 13 Lager
12,"RobPhilipson(175)
3.0January 19, 2021
Decent, better than the average lager but nothing special. As the name suggests there is a pleasant hoppy flavour, with the malt fading into peach at the end.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Hop House 13 Lager,Hop House 13 Lager
13,"GSAP(828)
🇳🇱Netherlands
2.9January 10, 2021
Fijne ronde, licht kruidige smaak, prima te behappen na een lange dag. Aroma is wat licht.
Aroma
4
Appearance
3
Flavor
7
Mouthfeel
4
Overall
11",Hop House 13 Lager,Hop House 13 Lager
14,"Badylatko(558)
🇵🇱Poland
3.2December 12, 2020
Piana ciemno biała, lekko w kierunku jak kożuch, nietrwała, średnia, szyła na szkle, zredukowała się do niewysokiej warstwy na powierzchni. Kolor przejrzysty bursztynowy.…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Hop House 13 Lager,Hop House 13 Lager
15,"pengmingo(6)
🇮🇪Widnes, Ireland
3.2December 6, 2020
This is a quite palatable mildly hopped ale, a good mass produced entry level to the world of hops
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Hop House 13 Lager,Hop House 13 Lager
16,"aratlon(97)
2.6December 4, 2020
Aussehen: klares schönes Bernstein, kaum carbonisiert, weiße sehr flüchtige Krone…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
2
Overall
11",Hop House 13 Lager,Hop House 13 Lager
17,"ross.mcgarrity(18)
🇮🇪Cavan, Ireland
3.1November 29, 2020
Best widely available beers ie heineken carlsberg or bud. Would choose it over them! Easy to drink & more flavour!
CASK
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Hop House 13 Lager,Hop House 13 Lager
18,"BitterTamer20(412)
3.7November 21, 2020
Bevuta in bottiglia.  Ottima lager molto luppolata.  Leggero amaro finale. Ben equilibrata.
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Hop House 13 Lager,Hop House 13 Lager
